time,signal
1766690111.9375226,83
1766690112.1591098,83
1766690112.370579,83
1766690112.668046,83
1766690112.8824017,83
1766690113.0964432,83
1766690113.3141444,83
1766690113.73326,83
1766690113.9697154,83
1766690114.198133,83
1766690114.4141152,83
1766690114.6373668,83
1766690114.8838415,83
1766690115.1169088,83
1766690115.3746622,83
1766690115.6215603,83
1766690115.8583884,83
1766690116.084278,83
1766690116.3382494,83
1766690116.568264,83
1766690116.7985744,83
1766690117.028326,83
1766690117.2883265,83
1766690117.5265243,83
1766690117.9069138,83
1766690118.12169,83
1766690118.338986,83
1766690118.5580235,83
1766690118.7850704,83
1766690119.0232253,83
1766690119.268402,83
1766690119.4905493,83
1766690119.7011387,83
1766690119.9197197,83
1766690120.1311483,83
1766690120.3506653,83
1766690120.571289,83
1766690120.7925236,83
1766690121.0324266,83
1766690121.2833176,83
1766690121.5050344,83
1766690121.743092,83
1766690121.973738,83
1766690122.2046957,83
1766690122.422062,83
1766690122.6570272,83
1766690122.9073951,83
1766690123.1204734,83
1766690123.3691132,83
1766690123.630602,83
1766690123.8720264,83
1766690124.1040487,83
1766690124.3269296,83
1766690124.5779407,83
1766690124.8163955,83
1766690125.0390675,83
1766690125.2686977,83
1766690125.497269,83
1766690125.729463,83
1766690126.1465044,83
1766690126.384758,83
1766690126.616302,83
1766690126.8492393,83
1766690127.1105623,83
1766690127.3398871,83
1766690127.5870173,83
1766690127.824379,83
1766690128.0489147,83
1766690128.2818232,83
1766690128.5260065,83
1766690128.7484891,83
1766690128.9856877,83
1766690129.2295775,83
1766690129.5062172,83
1766690129.8828526,83
1766690130.1082513,83
1766690130.3385162,83
1766690130.5586379,83
1766690130.8068342,83
1766690131.0275052,83
1766690131.259108,83
1766690131.5004086,83
1766690131.7302616,83
1766690131.9624224,83
1766690132.1916177,83
1766690132.4460053,83
1766690132.6674986,83
1766690132.9016895,83
1766690133.1292317,83
1766690133.3619668,83
1766690133.5817838,83
1766690133.8121479,83
1766690134.053164,83
1766690134.2831218,83
1766690134.513744,83
1766690134.739135,83
1766690134.9712367,83
1766690135.1806302,83
1766690135.4253156,83
1766690135.6457367,83
1766690135.857962,83
1766690136.0914876,83
1766690136.3234136,83
1766690136.5419142,83
1766690136.7621427,83
1766690137.000451,83
1766690137.238039,83
1766690137.4964054,83
1766690137.7287843,83
1766690137.9810865,83
1766690138.2174532,83
1766690138.433794,83
1766690138.6606264,83
1766690138.9399633,83
1766690139.1922908,83
1766690139.4141586,83
1766690139.6369982,83
1766690139.8930316,83
1766690140.1206083,83
1766690140.3666227,83
1766690140.5964735,83
1766690140.8560095,83
1766690141.1169252,83
1766690141.3741136,83
1766690141.5647442,83
1766690141.7713025,83
1766690141.979345,83
1766690142.211782,83
1766690142.406755,83
1766690142.605116,83
1766690142.812563,83
1766690143.0134377,83
1766690143.2612665,83
1766690143.480528,83
1766690143.696618,83
1766690143.912115,83
1766690144.1203027,83
1766690144.3455982,83
1766690144.5784416,83
1766690144.8198001,83
1766690145.0485742,83
1766690145.270668,83
1766690145.5018065,83
1766690145.740754,83
1766690145.9351058,83
1766690146.2245982,83
1766690146.4440298,83
1766690146.6527328,83
1766690146.886163,83
1766690147.093942,83
1766690147.3207855,83
1766690147.5612972,83
1766690147.782513,83
1766690147.9957726,83
1766690148.254802,83
1766690148.4828968,83
1766690148.7154884,83
1766690148.9816062,83
1766690149.2372901,83
1766690149.5183766,83
1766690149.7287989,83
1766690150.063598,83
1766690150.2876115,83
1766690150.8005524,83
1766690151.0281518,83
1766690151.2678237,83
1766690151.51215,83
1766690151.8002515,83
1766690152.037354,83
1766690152.271499,83
1766690152.4960697,83
1766690152.7424352,83
1766690152.9652302,83
1766690153.2109509,83
1766690153.423111,83
1766690153.6607003,83
1766690153.907061,83
1766690154.1366582,83
1766690154.3719583,83
1766690154.6092906,83
1766690154.8564088,83
1766690155.0917993,83
1766690155.3407986,83
1766690155.581404,83
1766690155.810649,83
1766690156.059414,83
1766690156.2937958,83
1766690156.5171537,83
1766690156.749373,83
1766690156.9833932,83
1766690157.2277277,83
1766690157.4443462,83
1766690157.6585295,83
1766690157.8897088,83
1766690158.1238296,83
1766690158.3575559,83
1766690158.5948493,83
1766690158.8418345,83
1766690159.0813246,83
1766690159.3312454,83
1766690159.5551589,83
1766690159.7746317,83
1766690160.0233796,83
1766690160.2271373,83
1766690160.4536676,83
1766690160.6768134,83
1766690160.9117038,83
1766690161.144015,83
1766690161.3811686,83
1766690161.6108992,83
1766690161.852986,83
1766690162.088214,83
1766690162.3250985,83
1766690162.5649054,83
1766690162.8106377,83
1766690163.065056,83
1766690163.293592,83
1766690163.52705,83
1766690163.7575612,83
1766690163.9989235,83
1766690164.248238,83
1766690164.4804301,83
1766690164.71028,83
1766690164.9634647,83
1766690165.203146,83
1766690165.4436402,83
1766690165.6901448,83
1766690165.9217622,83
1766690166.1404676,83
1766690166.3992977,83
1766690166.6034307,83
1766690166.8140216,83
1766690167.0106776,83
1766690167.2084553,83
1766690167.416902,83
1766690167.6317413,83
1766690167.8866122,83
1766690168.1238594,83
1766690168.362527,83
1766690168.5751076,83
1766690168.8338156,83
1766690169.0879724,83
1766690169.3247235,83
1766690169.5834303,83
1766690169.8177276,83
1766690170.055477,83
1766690170.283914,83
1766690170.5146127,83
1766690170.7564662,83
1766690170.9754899,83
1766690171.217069,83
1766690171.4426267,83
1766690171.680772,83
1766690171.9049826,83
1766690172.1316807,83
1766690172.3605795,83
1766690172.5909605,83
1766690172.81419,83
